Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.1677018,0.14690925,0.33207425,0.067175835,0.027296979,0.1594927,0.029633535,0.0026602345,0.053561274,0.013494076
2,0.1642714,0.049620286,0.33838025,0.121637024,0.047567483,0.11423812,0.038216606,0.018093763,0.086463,0.021512017
3,0.72926134,0.023210574,0.0030195806,0.009015641,0.015999611,0.007872174,0.03107707,0.16326316,0.0036218509,0.013658798
4,0.98357785,0.01349706,3.175208e-05,1.8144834e-05,0.001953346,3.4985325e-05,0.00055712875,0.00028138873,1.3718638e-05,3.4560097e-05
5,0.9762072,0.0063341167,0.0010528679,0.00053321745,0.0049605896,0.0044431444,0.0013289711,0.00379868,0.00018091223,0.0011603006
6,0.4225791,0.002956747,0.0043131025,0.10073093,0.05332105,0.1856314,0.019530758,0.19994372,0.0012016095,0.009791477
7,0.107361935,0.0857109,0.1343245,0.066000864,0.09504954,0.08229295,0.10807525,0.105075106,0.1520519,0.064057
8,0.7699829,0.00505688,0.0002175799,0.010978948,0.018801983,0.0014722164,0.026224932,0.1636464,0.0003991623,0.0032189887
9,0.91149837,0.00142439,0.001021736,0.000851216,0.02837738,0.001263202,0.026021663,0.024223603,0.00055196765,0.004766443
10,0.42373475,0.43802312,0.04102035,0.021427818,0.0078924205,0.0127053065,0.014728547,0.009858989,0.028164636,0.0024440205
11,0.8417274,0.021436185,0.0040564775,0.004282905,0.039053667,0.0058514974,0.02323354,0.05487885,0.0010166283,0.0044626975
12,0.25298223,0.04610959,0.06600948,0.06496931,0.11970728,0.02514182,0.10289949,0.11309249,0.013912672,0.1951757
13,0.8408066,0.12681855,0.0040765717,0.0019649477,0.005072025,0.0024842215,0.009147817,0.0033018747,0.0008192089,0.0055082287
14,0.25502947,0.07193407,0.011414086,0.06748241,0.076031335,0.0743904,0.03846682,0.34596375,0.018635882,0.040651713
15,0.2894338,0.0870226,0.0022154087,0.43910742,0.07139562,0.025191799,0.06756918,0.0047056945,0.00074110535,0.012617423
16,0.47427028,0.031944886,0.008643073,0.25067607,0.065280825,0.014805033,0.047414735,0.08368933,0.005692022,0.017583864
17,0.13799071,0.2672069,0.2516311,0.053658444,0.040144693,0.04783606,0.041465044,0.0067810807,0.12986614,0.023419797
18,0.9962793,0.0036835135,2.3159014e-06,3.8431544e-08,2.9054107e-05,1.2503203e-07,5.1300613e-06,3.1245384e-07,2.287493e-08,1.8907038e-07
19,0.09125904,0.046061873,0.39199787,0.021201847,0.04884585,0.19451912,0.033086523,0.016696347,0.116705276,0.039626095
20,0.14234015,0.8378001,0.0035825174,0.0018160482,0.002610999,0.001795673,0.007482778,0.0008781153,0.0011680417,0.00052558817
21,0.1538936,0.7542208,0.056025427,0.024512896,0.0010717383,0.0020600634,0.0071159303,8.1479804e-05,0.0006954362,0.0003226765
22,0.4826878,0.034535024,0.012980151,0.100761846,0.08707606,0.06572893,0.089129396,0.05342216,0.015449655,0.05822905
23,0.8198979,0.045978114,0.0024859882,0.015508226,0.050223596,0.0038017593,0.047952574,0.008082904,0.00086804025,0.0052010417
24,0.34515154,0.33459377,0.011688804,0.14602752,0.04149435,0.027110225,0.047200214,0.028251711,0.0070036277,0.011478233
25,0.532046,0.3500162,0.03603131,0.021344777,0.012503169,0.009296332,0.015957642,0.011597003,0.007386164,0.0038214263
26,0.21109484,0.19507246,0.010712486,0.36294737,0.05006125,0.052795693,0.08121568,0.011829816,0.007345532,0.016924888
27,0.10046865,0.21384253,0.4363117,0.020204108,0.027916137,0.15730661,0.016861571,0.0009948289,0.024033925,0.0020599714
28,0.45373213,0.018403068,0.047960468,0.015663732,0.17483547,0.07049867,0.035854246,0.12773131,0.03916138,0.016159598
29,0.6069616,0.005487759,0.013810841,0.03205225,0.067353,0.049561303,0.03145336,0.14790462,0.031504657,0.013910618
30,0.90205914,0.007854479,0.0027934108,0.0027084907,0.018850882,0.0015574206,0.0191553,0.041966587,0.0004724189,0.0025818485
31,0.17096767,0.12615201,0.02605134,0.4307019,0.04621612,0.0709385,0.0656682,0.018089114,0.01409676,0.031118415
